instance,LP Model value,Heuristic,Avg result difference (%)
0,98.0,100.727,2.7827
1,112.7192,114.8147,1.859
2,106.5031,107.8608,1.2749
3,87.5698,88.9274,1.5503
4,109.0028,114.5857,5.1218
5,99.142,100.785,1.6573
6,108.3097,111.5009,2.9463
7,118.9951,122.5194,2.9617
8,91.4548,92.1814,0.7946
9,101.4441,105.0847,3.5887
10,103.711,110.5704,6.6141
11,97.5504,98.1065,0.57
12,100.0357,100.3961,0.3603
13,101.3327,104.8305,3.4518
14,97.3541,98.5906,1.2701
15,96.6675,97.8673,1.2411
16,113.9961,115.924,1.6912
17,112.9338,115.2675,2.0664
18,103.528,105.7951,2.1898
19,97.0005,98.2182,1.2553
20,92.6793,94.8816,2.3763
21,115.996,119.9118,3.3758
22,117.2698,119.9964,2.325
23,104.9226,106.3084,1.3208
24,121.8126,125.9948,3.4333
25,115.7083,116.6715,0.8324
26,109.1845,112.8021,3.3133
27,124.0781,132.4753,6.7677
28,95.818,96.91,1.1397
29,89.0825,90.4174,1.4985
30,94.6367,98.1915,3.7563
31,106.189,107.8161,1.5323
32,87.4388,88.8767,1.6445
33,97.8113,98.5895,0.7957
34,89.279,90.6233,1.5057
35,107.4298,108.145,0.6657
36,102.3033,103.826,1.4884
37,105.8886,110.0007,3.8835
38,104.4187,108.6694,4.0708
39,118.9963,123.5143,3.7967
40,104.6453,106.5816,1.8503
41,97.5915,100.1204,2.5913
42,103.4685,107.2689,3.673
43,108.2834,110.6827,2.2158
44,102.1346,108.0031,5.7458
45,101.4337,102.7386,1.2865
46,116.176,121.5388,4.6161
47,100.1768,106.7277,6.5393
48,114.0627,115.1969,0.9943
49,119.9942,120.8408,0.7056
50,111.1799,115.0235,3.457
51,89.261,91.0774,2.0349
52,111.8662,117.6023,5.1277
53,117.0601,121.3433,3.659
54,111.0006,111.4019,0.3615
55,94.2297,97.306,3.2647
56,101.8538,103.8536,1.9635
57,126.4789,134.0811,6.0106
58,99.062,103.4625,4.4422
59,107.134,107.3844,0.2336
60,106.8192,108.1856,1.2791
61,109.3239,110.28,0.8746
62,94.7399,97.1584,2.5528
63,119.0011,119.7069,0.5931
64,99.5216,102.7451,3.239
65,105.8649,107.2706,1.3278
66,113.7873,117.7158,3.4525
67,106.7935,107.5516,0.7098
68,120.3744,123.916,2.9421
69,100.9035,101.712,0.8013
70,113.0418,114.1288,0.9617
71,93.7507,100.2508,6.9334
72,112.2036,114.8924,2.3963
73,102.2744,106.8194,4.4439
74,100.2018,100.5351,0.3326
75,93.1326,96.5662,3.6868
76,92.8771,95.4185,2.7363
77,103.667,104.5575,0.859
78,111.079,111.8798,0.7209
79,96.2179,97.7888,1.6327
80,114.9993,116.6444,1.4305
81,120.7464,122.1195,1.1372
82,106.7855,107.929,1.0708
83,110.3254,113.3881,2.776
84,95.6848,97.8969,2.3119
85,106.1626,108.7466,2.4341
86,94.652,96.477,1.928
87,90.6654,93.5159,3.1439
88,98.6128,101.569,2.9978
89,112.2075,112.3804,0.1541
90,95.4147,97.7582,2.4561
91,97.3501,100.2113,2.9391
92,104.6016,105.6687,1.0201
93,97.3564,99.3069,2.0034
94,95.546,95.8194,0.2862
95,119.5845,124.2518,3.9029
96,100.8688,104.4056,3.5064
97,112.9101,114.1271,1.0778
98,102.8376,103.5052,0.6492
99,105.9017,108.8345,2.7694
100,98.3501,100.7865,2.4773
101,98.3515,100.2218,1.9017
102,93.8448,94.0764,0.2468
103,95.7273,97.551,1.9051
104,106.5857,110.1695,3.3624
105,114.1445,116.5234,2.0841
106,104.1608,104.4808,0.3073
107,98.0321,99.7746,1.7774
108,94.998,97.0531,2.1633
109,97.4779,99.3563,1.9271
110,106.5708,110.9277,4.0882
111,112.7617,119.3134,5.8103
112,93.7278,97.5269,4.0534
113,115.6568,120.7006,4.361
114,92.8632,94.8625,2.1529
115,105.0872,105.1787,0.0871
116,92.4794,93.0508,0.6179
117,104.9988,108.9609,3.7735
118,102.2304,103.1546,0.904
119,97.5147,100.2297,2.7842
120,101.461,104.6142,3.1078
121,101.6203,105.5178,3.8353
122,117.6668,119.4162,1.4868
123,108.9186,117.7661,8.1231
124,104.3342,105.3364,0.9606
125,113.9435,114.0245,0.0711
126,96.8097,101.0825,4.4136
127,109.2371,109.8249,0.5381
128,111.5421,117.1604,5.0369
129,108.8464,112.231,3.1095
130,94.0811,96.6185,2.6971
131,101.2076,102.8638,1.6364
132,115.6248,118.3754,2.3789
133,111.5356,115.9952,3.9984
134,103.235,105.3115,2.0115
135,104.9648,106.0772,1.0598
136,88.0834,92.3274,4.8182
137,85.0651,86.259,1.4035
138,112.137,114.2083,1.8471
139,105.7566,107.3786,1.5338
140,98.5697,99.8553,1.3043
141,98.9975,101.7745,2.8051
142,122.1332,123.7999,1.3647
143,111.1042,114.471,3.0303
144,97.8299,99.7867,2.0001
145,102.7604,104.0436,1.2487
146,97.7913,100.5055,2.7755
147,110.9936,113.3378,2.112
148,108.8245,109.0603,0.2167
149,118.5318,120.297,1.4892
150,112.4977,115.2832,2.476
151,110.4895,113.2163,2.4679
152,102.482,103.101,0.604
153,102.386,102.5153,0.1262
154,94.3659,95.2856,0.9746
155,105.8083,108.7611,2.7907
156,94.6124,97.0651,2.5924
157,122.4178,129.0849,5.4461
158,91.8022,99.4034,8.28
159,105.7486,106.0619,0.2963
160,100.996,102.7369,1.7238
161,103.7409,107.5972,3.7172
162,76.3902,77.2242,1.0918
163,97.0805,99.5419,2.5354
164,107.9427,113.2759,4.9408
165,108.5656,109.253,0.6332
166,99.5661,100.6094,1.0478
167,93.0805,95.0004,2.0627
168,111.1114,116.1465,4.5316
169,131.2259,133.9063,2.0426
170,97.3069,98.616,1.3454
171,97.6414,97.6417,0.0003
172,92.1336,93.6675,1.6648
173,81.999,84.9205,3.5629
174,119.2307,122.3847,2.6453
175,96.3059,97.8457,1.5989
176,103.5367,104.1379,0.5806
177,102.5498,103.2262,0.6596
178,108.7859,109.9292,1.0509
179,97.3851,100.29,2.9829
180,113.1343,114.3605,1.0838
181,112.5393,117.6904,4.5771
182,106.9682,107.9984,0.9631
183,108.2923,113.5018,4.8106
184,94.7832,96.9256,2.2603
185,123.9676,126.1811,1.7856
186,110.0018,111.8097,1.6435
187,93.072,97.1492,4.3807
188,109.3872,111.3086,1.7565
189,114.5582,122.296,6.7545
190,109.4405,114.0413,4.2039
191,114.3578,115.3577,0.8743
192,104.5737,109.0034,4.236
193,118.7582,124.0613,4.4655
194,105.9444,106.8919,0.8944
195,96.2906,98.7019,2.5042
196,98.5297,98.9413,0.4177
197,97.3546,98.3544,1.0269
198,111.3715,112.8083,1.29
199,91.8308,97.4969,6.1702
200,115.0424,116.8535,1.5743
201,101.8138,104.7515,2.8853
202,98.096,100.386,2.3344
203,95.4035,99.2537,4.0356
204,106.0312,107.4855,1.3716
205,109.4165,113.8892,4.0878
206,91.3266,95.3635,4.4203
207,102.0331,106.2828,4.165
208,92.7615,95.8378,3.3164
209,110.0524,112.2745,2.019
210,96.9645,99.5933,2.7111
211,134.1276,139.3838,3.9188
212,87.9578,90.6452,3.0553
213,121.6381,126.6921,4.155
214,91.6995,99.8311,8.8677
215,104.5811,105.6134,0.9871
216,99.6401,99.9259,0.2868
217,85.6952,91.0031,6.194
218,100.1605,102.8409,2.6761
219,106.2741,106.9097,0.5981
220,100.7414,101.5675,0.82
221,118.5586,123.3355,4.0291
222,86.8254,91.307,5.1615
223,101.2432,102.0766,0.8231
224,102.2877,109.8072,7.3514
225,107.9082,114.6201,6.22
226,93.5371,96.8462,3.5378
227,96.6654,97.4438,0.8052
228,100.2775,105.826,5.5332
229,105.6246,108.3111,2.5435
230,107.9615,113.3555,4.9962
231,106.4224,106.53,0.1011
232,106.0929,108.8661,2.614
233,106.7688,108.5375,1.6566
234,115.6805,117.641,1.6947
235,100.9971,103.2713,2.2517
236,104.2123,110.0772,5.6278
237,88.8107,89.811,1.1264
238,100.6935,104.6058,3.8853
239,111.7367,116.6611,4.4072
240,104.6031,108.2712,3.5067
241,93.837,94.7173,0.9382
242,103.9995,104.8053,0.7748
243,94.1283,95.302,1.2469
244,84.0361,84.6221,0.6973
245,114.3866,115.9252,1.3451
246,99.2436,101.1637,1.9347
247,93.0535,95.7197,2.8652
248,110.6351,111.82,1.071
249,120.1239,123.8119,3.0701
250,104.959,107.5833,2.5003
251,103.2267,109.9975,6.5592
252,90.2072,96.2064,6.6504
253,100.6243,102.6662,2.0292
254,118.48,126.859,7.0721
255,91.5474,94.5469,3.2764
256,120.3342,121.6685,1.1089
257,118.4609,119.1415,0.5745
258,101.1565,105.4646,4.2588
259,102.2233,103.081,0.839
260,103.081,105.0813,1.9405
261,102.0043,105.0384,2.9745
262,101.6111,103.2905,1.6527
263,109.4783,112.959,3.1793
264,103.2766,104.6401,1.3202
265,112.2743,114.0675,1.5972
266,92.3852,92.5784,0.2091
267,114.8877,124.3864,8.2678
268,105.344,107.5282,2.0734
269,96.0053,97.6139,1.6756
270,89.272,89.2723,0.0003
271,127.8484,134.4816,5.1883
272,103.154,104.6698,1.4695
273,89.6261,92.5008,3.2075
274,88.5519,91.5527,3.3887
275,105.444,106.8886,1.37
276,91.7711,93.0861,1.433
277,97.8506,100.895,3.1113
278,97.6394,100.211,2.6338
279,112.1899,123.9171,10.453
280,97.4123,97.4123,-0.0
281,71.8856,80.1035,11.4319
282,105.3836,106.5782,1.1336
283,101.3095,108.2416,6.8425
284,111.4421,111.9612,0.4658
285,114.1301,115.6121,1.2985
286,117.4509,121.7245,3.6386
287,108.313,113.2738,4.58
288,95.2808,96.2118,0.9771
289,98.934,102.0036,3.1027
290,105.4193,105.7101,0.2758
291,93.7847,97.8545,4.3395
292,103.5824,105.8337,2.1734
293,102.5787,108.2181,5.4976
294,108.5917,109.2583,0.6138
295,109.2739,111.9107,2.4131
296,113.3988,115.0655,1.4698
297,102.645,104.8056,2.1049
298,120.3535,123.9295,2.9713
299,100.4138,104.0284,3.5997
300,114.5394,114.7192,0.1569
301,101.8008,103.1606,1.3357
302,104.6162,106.3083,1.6175
303,94.8784,98.4658,3.781
304,117.8853,121.3244,2.9174
305,110.3397,110.4783,0.1256
306,111.158,113.437,2.0502
307,123.9094,124.6047,0.5611
308,111.5397,112.1558,0.5523
309,101.5877,104.0573,2.4311
310,96.4864,98.8985,2.5
311,113.0318,115.4954,2.1796
312,108.3165,116.1955,7.2741
313,105.2181,105.8268,0.5785
314,110.998,114.3959,3.0612
315,101.676,106.9349,5.1722
316,114.3889,124.8534,9.1482
317,114.0028,117.0412,2.6652
318,90.1251,93.0638,3.2606
319,121.4723,128.8415,6.0666
320,93.7989,94.8667,1.1384
321,107.59,109.8852,2.1332
322,105.9244,106.8883,0.91
323,95.6051,97.6079,2.0948
324,94.603,95.9365,1.4096
325,86.0615,86.6503,0.6842
326,107.1891,110.1501,2.7624
327,91.5679,94.4389,3.1353
328,119.4207,121.0049,1.3266
329,98.9137,123.4121,24.7675
330,82.5317,84.5905,2.4946
331,101.2863,102.1915,0.8937
332,110.5665,116.0617,4.97
333,108.7027,111.7395,2.7937
334,113.7327,114.6723,0.8262
335,103.961,106.8022,2.733
336,91.9986,92.6647,0.724
337,101.3982,112.6777,11.124
338,99.0643,101.4182,2.3761
339,92.43,94.8558,2.6245
340,119.7553,121.8047,1.7114
341,118.1965,124.5753,5.3968
342,109.599,112.5599,2.7015
343,106.217,111.8869,5.338
344,112.5703,116.6429,3.6178
345,120.4177,124.1673,3.1138
346,112.1338,113.9607,1.6292
347,105.8314,106.7879,0.9038
348,105.7391,107.4721,1.6389
349,116.6639,117.8645,1.0291
350,107.0326,107.9999,0.9037
351,114.4303,115.3432,0.7977
352,105.9448,116.8404,10.2842
353,114.5883,116.8218,1.9491
354,111.6645,112.5698,0.8107
355,96.8185,99.6364,2.9105
356,105.3877,109.3126,3.7243
357,107.7511,108.8763,1.0443
358,104.256,107.307,2.9265
359,95.74,96.2964,0.5811
360,110.4025,110.8029,0.3626
361,120.7717,126.5432,4.7789
362,103.7875,104.9296,1.1004
363,103.9962,106.1957,2.115
364,108.6893,109.4598,0.709
365,104.0483,108.5936,4.3685
366,108.719,110.5764,1.7084
367,104.6182,106.6184,1.9119
368,113.6131,119.4578,5.1444
369,92.6856,92.8738,0.2031
370,102.3207,102.9613,0.626
371,116.7065,120.0037,2.8253
372,106.5814,107.582,0.9388
373,97.2399,99.5252,2.3502
374,105.6185,106.4654,0.8018
375,82.7468,84.5799,2.2154
376,109.1488,110.2205,0.9819
377,107.5483,109.8591,2.1486
378,118.062,119.8864,1.5452
379,110.4801,112.072,1.441
380,119.5343,120.3343,0.6693
381,113.96,119.5039,4.8648
382,112.8259,118.0842,4.6605
383,106.5857,110.102,3.299
384,106.2816,109.9118,3.4156
385,98.1974,102.2636,4.1409
386,100.3161,107.9037,7.5637
387,109.6429,111.7248,1.8989
388,95.216,97.3602,2.2519
389,107.4861,109.7268,2.0847
390,110.3082,110.4397,0.1192
391,98.8294,101.4382,2.6396
392,120.658,120.9681,0.2569
393,96.9343,97.4523,0.5344
394,97.5386,98.9974,1.4956
395,97.8795,98.9382,1.0817
396,119.5218,121.087,1.3096
397,102.7678,105.4596,2.6194
398,122.1045,122.5045,0.3275
399,107.5369,110.6448,2.8901
400,94.7135,98.4275,3.9214
401,98.9336,101.9696,3.0688
402,111.3078,114.0782,2.4889
403,100.5239,101.0847,0.5579
404,96.5285,99.8322,3.4224
405,111.1019,113.6539,2.297
406,86.0585,89.6465,4.1693
407,108.6596,111.9932,3.0679
408,94.8299,100.2456,5.7109
409,119.9991,128.905,7.4217
410,111.369,112.4937,1.0099
411,112.6688,114.8346,1.9223
412,105.5709,109.428,3.6536
413,107.5528,108.7025,1.0689
414,100.7966,104.9952,4.1654
415,90.3807,92.864,2.7475
416,106.7531,107.1705,0.391
417,120.1575,126.0788,4.928
418,95.9075,98.7461,2.9598
419,104.7027,106.5545,1.7686
420,100.3215,101.7829,1.4567
421,108.3072,111.5499,2.994
422,110.6625,115.3927,4.2744
423,115.133,116.4021,1.1023
424,101.6099,111.2168,9.4548
425,108.9984,112.961,3.6355
426,118.2777,123.6647,4.5545
427,109.7031,111.1733,1.3402
428,91.1764,93.1731,2.19
429,111.918,114.4586,2.2701
430,106.6058,108.0719,1.3753
431,87.5346,91.7127,4.773
432,119.933,124.7869,4.0472
433,99.882,107.4248,7.5517
434,127.2505,127.2507,0.0002
435,118.3617,122.863,3.803
436,90.039,92.0791,2.2658
437,122.6363,123.8489,0.9888
438,109.2689,110.7355,1.3422
439,102.8552,108.4042,5.3949
440,113.7632,119.9098,5.403
441,98.3605,102.7176,4.4297
442,120.0605,122.5268,2.0542
443,121.7492,123.0845,1.0968
444,104.7934,106.0592,1.2079
445,92.3953,96.1952,4.1127
446,89.5377,90.8455,1.4606
447,95.6698,97.3356,1.7412
448,90.4994,92.4002,2.1003
449,121.4788,124.4771,2.4681
450,105.3729,111.3734,5.6945
451,89.2808,91.0023,1.9281
452,110.5389,114.9176,3.9613
453,97.4013,100.1355,2.8071
454,107.1344,111.7344,4.2937
455,102.7435,104.1519,1.3708
456,84.8766,85.7897,1.0758
457,94.5903,96.0376,1.5301
458,107.5023,108.0037,0.4665
459,97.0007,99.3802,2.4531
460,107.1992,108.4285,1.1467
461,108.0983,110.3559,2.0885
462,116.7767,116.8894,0.0965
463,109.8982,110.6805,0.7119
464,121.9665,127.1456,4.2463
465,91.862,93.7219,2.0247
466,103.037,105.7671,2.6496
467,100.1431,100.8566,0.7125
468,88.7938,92.5933,4.279
469,106.4544,107.8831,1.3421
470,88.0036,88.9417,1.066
471,116.9954,125.6262,7.377
472,95.0049,97.2715,2.3857
473,92.9265,106.9931,15.1374
474,116.4113,119.3746,2.5455
475,124.6039,129.2031,3.6911
476,110.3041,111.7036,1.2687
477,94.8575,95.4299,0.6034
478,116.2052,121.5851,4.6297
479,90.2617,90.9306,0.741
480,87.4188,89.5032,2.3844
481,105.9137,108.4971,2.4392
482,90.6268,91.7526,1.2422
483,105.9999,107.6672,1.5729
484,104.7054,106.47,1.6852
485,114.7301,116.9129,1.9026
486,111.8516,115.6421,3.3888
487,98.0415,101.202,3.2237
488,117.2782,119.1055,1.5581
489,113.7852,118.3566,4.0176
490,90.0628,91.705,1.8234
491,111.9706,113.2215,1.1172
492,127.5911,129.5898,1.5665
493,96.8512,97.005,0.1588
494,98.6719,100.7374,2.0934
495,86.0031,90.3022,4.9987
496,102.4214,102.5882,0.1628
497,114.8489,127.2718,10.8168
498,107.1171,108.7705,1.5435
499,102.4724,103.5911,1.0918
500,104.2073,107.7255,3.3761
